,CodeAntena,Duracion,Hora,NumeroDestino
0,1100135869,0 days 00:04:00.000000000,2018-06-01 13:07:00,311.487.6976
1,1100187368,0 days 00:02:00.000000000,2018-06-01 18:54:00,311.487.6976
2,1100162399,0 days 00:02:00.000000000,2018-06-01 13:20:00,311.487.6976
3,1100187105,0 days 00:05:00.000000000,2018-06-01 12:30:00,315.777.6549
4,1100187198,0 days 00:04:00.000000000,2018-06-01 17:30:00,300.227.8739
5,1100135150,0 days 00:03:00.000000000,2018-06-01 13:27:00,301.009.5672
6,1100187640,0 days 00:01:00.000000000,2018-06-01 06:06:00,300.227.8739
7,1100162555,0 days 00:03:00.000000000,2018-06-01 09:09:00,311.487.6976
8,1100135738,0 days 00:05:00.000000000,2018-06-01 19:46:00,315.777.6549
9,1100135750,0 days 00:03:00.000000000,2018-06-02 07:42:00,315.777.6549
10,1100162138,0 days 00:05:00.000000000,2018-06-02 20:25:00,315.777.6549
11,1100123745,0 days 00:04:00.000000000,2018-06-02 13:59:00,301.009.5672
12,1100123157,0 days 00:02:00.000000000,2018-06-02 21:48:00,301.009.5672
13,1100123778,0 days 00:04:00.000000000,2018-06-02 10:00:00,315.777.6549
14,1100187155,0 days 00:06:00.000000000,2018-06-02 08:53:00,311.487.6976
15,1100162212,0 days 00:05:00.000000000,2018-06-02 11:06:00,301.009.5672
16,1100135341,0 days 00:06:00.000000000,2018-06-03 18:44:00,301.009.5672
17,1100123311,0 days 00:01:00.000000000,2018-06-03 18:10:00,300.227.8739
18,1100135278,0 days 00:05:00.000000000,2018-06-03 18:58:00,315.777.6549
19,1100135459,0 days 00:06:00.000000000,2018-06-03 18:30:00,300.227.8739
20,1100187554,0 days 00:02:00.000000000,2018-06-03 12:14:00,301.009.5672
21,1100162881,0 days 00:02:00.000000000,2018-06-03 20:46:00,311.487.6976
22,1100187407,0 days 00:01:00.000000000,2018-06-03 22:21:00,315.777.6549
23,1100162787,0 days 00:04:00.000000000,2018-06-03 12:52:00,315.777.6549
24,1100162276,0 days 00:04:00.000000000,2018-06-03 13:12:00,315.777.6549
25,1100123198,0 days 00:04:00.000000000,2018-06-04 16:41:00,311.487.6976
26,1100135825,0 days 00:06:00.000000000,2018-06-04 17:25:00,311.487.6976
27,1100187169,0 days 00:04:00.000000000,2018-06-04 06:55:00,311.487.6976
28,1100135828,0 days 00:01:00.000000000,2018-06-04 17:23:00,315.777.6549
29,1100162384,0 days 00:06:00.000000000,2018-06-04 08:11:00,311.487.6976
30,1100162525,0 days 00:03:00.000000000,2018-06-04 18:34:00,311.487.6976
31,1100162108,0 days 00:04:00.000000000,2018-06-04 10:08:00,300.227.8739
32,1100162166,0 days 00:06:00.000000000,2018-06-04 15:52:00,315.777.6549
33,1100162869,0 days 00:06:00.000000000,2018-06-05 19:30:00,315.777.6549
34,1100162361,0 days 00:02:00.000000000,2018-06-05 12:30:00,315.777.6549
35,1100162266,0 days 00:06:00.000000000,2018-06-05 12:44:00,300.227.8739
36,1100123379,0 days 00:06:00.000000000,2018-06-05 11:54:00,315.777.6549
37,1100187770,0 days 00:03:00.000000000,2018-06-06 22:05:00,315.777.6549
38,1100187886,0 days 00:05:00.000000000,2018-06-06 08:30:00,315.777.6549
39,1100135851,0 days 00:03:00.000000000,2018-06-06 12:49:00,315.777.6549
40,1100135161,0 days 00:05:00.000000000,2018-06-06 09:58:00,301.009.5672
41,1100187621,0 days 00:06:00.000000000,2018-06-06 06:54:00,315.777.6549
42,1100135650,0 days 00:04:00.000000000,2018-06-06 12:01:00,315.777.6549
43,1100162533,0 days 00:05:00.000000000,2018-06-06 14:24:00,311.487.6976
44,1100135660,0 days 00:06:00.000000000,2018-06-06 08:16:00,311.487.6976
45,1100135569,0 days 00:04:00.000000000,2018-06-07 15:36:00,311.487.6976
46,1100135523,0 days 00:03:00.000000000,2018-06-07 18:51:00,301.009.5672
47,1100135239,0 days 00:01:00.000000000,2018-06-07 07:41:00,300.227.8739
48,1100162431,0 days 00:01:00.000000000,2018-06-07 18:30:00,300.227.8739
49,1100162857,0 days 00:05:00.000000000,2018-06-07 17:46:00,300.227.8739
50,1100162835,0 days 00:03:00.000000000,2018-06-07 22:23:00,300.227.8739
51,1100187449,0 days 00:03:00.000000000,2018-06-08 08:09:00,301.009.5672
52,1100123176,0 days 00:02:00.000000000,2018-06-08 15:04:00,315.777.6549
53,1100123651,0 days 00:02:00.000000000,2018-06-08 06:08:00,315.777.6549
54,1100123338,0 days 00:03:00.000000000,2018-06-08 13:27:00,311.487.6976
55,1100123573,0 days 00:04:00.000000000,2018-06-08 16:33:00,301.009.5672
56,1100162580,0 days 00:03:00.000000000,2018-06-08 15:19:00,315.777.6549
57,1100123325,0 days 00:02:00.000000000,2018-06-08 19:29:00,301.009.5672
58,1100123664,0 days 00:01:00.000000000,2018-06-08 06:40:00,301.009.5672
59,1100123325,0 days 00:02:00.000000000,2018-06-09 19:14:00,315.777.6549
60,1100187560,0 days 00:06:00.000000000,2018-06-09 10:01:00,301.009.5672
61,1100123861,0 days 00:05:00.000000000,2018-06-09 10:29:00,301.009.5672
62,1100123282,0 days 00:05:00.000000000,2018-06-09 20:27:00,315.777.6549
63,1100162519,0 days 00:01:00.000000000,2018-06-10 18:45:00,315.777.6549
64,1100162192,0 days 00:02:00.000000000,2018-06-10 07:26:00,301.009.5672
65,1100135303,0 days 00:04:00.000000000,2018-06-10 11:51:00,315.777.6549
66,1100162660,0 days 00:04:00.000000000,2018-06-10 07:08:00,311.487.6976
67,1100123743,0 days 00:04:00.000000000,2018-06-10 12:50:00,311.487.6976
68,1100187302,0 days 00:04:00.000000000,2018-06-10 07:41:00,315.777.6549
69,1100162493,0 days 00:02:00.000000000,2018-06-10 07:16:00,311.487.6976
70,1100162405,0 days 00:05:00.000000000,2018-06-10 13:36:00,301.009.5672
71,1100135170,0 days 00:06:00.000000000,2018-06-11 14:46:00,301.009.5672
72,1100187242,0 days 00:01:00.000000000,2018-06-11 11:08:00,315.777.6549
73,1100123397,0 days 00:06:00.000000000,2018-06-11 16:04:00,315.777.6549
74,1100162866,0 days 00:06:00.000000000,2018-06-11 10:33:00,315.777.6549
75,1100162737,0 days 00:01:00.000000000,2018-06-11 17:02:00,301.009.5672
76,1100187421,0 days 00:06:00.000000000,2018-06-11 16:17:00,301.009.5672
77,1100135432,0 days 00:05:00.000000000,2018-06-11 15:58:00,311.487.6976
78,1100187620,0 days 00:02:00.000000000,2018-06-12 18:25:00,315.777.6549
